Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,11050575357,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,23034,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,2904586,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1395806,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1304,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,19595,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,871,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,19,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,15344584,,,0
H3,2011,2011,2011,0,0,1,Import,70,Bosnia Herzegovina,BIH,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,26061858,,,0
