Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,69591297855,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1534,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1038812,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11950,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,81459,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,197914649,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,73059,,,0
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1562,,,0
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3537026532,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,231798746,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,257414953,,,4
H5,2019,2019,2019,0,0,1,Import,152,Chile,CHL,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,298583,,,4
