Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,214988108353,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9276428,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,44788847,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1186019580,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,165034,,,0
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,100953,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,670449108,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7707353,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,71094961,,,4
H5,2017,2017,2017,0,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,17618822550,,,4
