Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7812455324,,,4
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,472586,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8590334,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,26374333,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,13802,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5294916,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2662527,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,143618,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,99886664,,,0
H5,2020,2020,2020,0,0,1,Import,686,Senegal,SEN,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12991688,,,4
