Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,28408679844,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,1204087,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,43793,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,86199,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,264,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,390,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,18243,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,145442427,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,40432070,,,0
H3,2009,2009,2009,0,0,1,Import,398,Kazakhstan,KAZ,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,,,,,43049450,,,0
